Date,Age Group,Sex,Sinovac 1st dose,Sinovac 2nd dose,Sinovac 3rd dose,Sinovac 4th dose,BioNTech 1st dose,BioNTech 2nd dose,BioNTech 3rd dose,BioNTech 4th dose
22-02-21,30-39,M,1,0,0,0,0,0,0,0
22-02-21,40-49,F,1,0,0,0,0,0,0,0
22-02-21,40-49,M,11,0,0,0,0,0,0,0
22-02-21,50-59,F,2,0,0,0,0,0,0,0
22-02-21,50-59,M,10,0,0,0,0,0,0,0
22-02-21,60-69,F,6,0,0,0,0,0,0,0
22-02-21,60-69,M,7,0,0,0,0,0,0,0
22-02-21,70-79,F,1,0,0,0,0,0,0,0
22-02-21,70-79,M,8,0,0,0,0,0,0,0
23-02-21,0-19,M,1,0,0,0,0,0,0,0
23-02-21,20-29,F,6,0,0,0,0,0,0,0
23-02-21,20-29,M,8,0,0,0,0,0,0,0
23-02-21,30-39,F,13,0,0,0,0,0,0,0
23-02-21,30-39,M,39,0,0,0,0,0,0,0
23-02-21,40-49,F,35,0,0,0,0,0,0,0
23-02-21,40-49,M,75,0,0,0,0,0,0,0
23-02-21,50-59,F,26,0,0,0,0,0,0,0
23-02-21,50-59,M,93,0,0,0,0,0,0,0
23-02-21,60-69,F,56,0,0,0,0,0,0,0
23-02-21,60-69,M,118,0,0,0,0,0,0,0
23-02-21,70-79,F,22,0,0,0,0,0,0,0
23-02-21,70-79,M,27,0,0,0,0,0,0,0
23-02-21,80 and above,F,7,0,0,0,0,0,0,0
23-02-21,80 and above,M,6,0,0,0,0,0,0,0
26-02-21,0-19,F,13,0,0,0,0,0,0,0
26-02-21,0-19,M,9,0,0,0,0,0,0,0
26-02-21,20-29,F,44,0,0,0,0,0,0,0
26-02-21,20-29,M,47,0,0,0,0,0,0,0
26-02-21,30-39,F,101,0,0,0,0,0,0,0
26-02-21,30-39,M,149,0,0,0,0,0,0,0
26-02-21,40-49,F,311,0,0,0,0,0,0,0
26-02-21,40-49,M,415,0,0,0,0,0,0,0
